 F		 G
 1.81970086e+01  4.03586055e+01 
 1.86208714e+01  4.03569188e+01 
 1.90546072e+01  4.03551533e+01 
 1.94984460e+01  4.03533053e+01 
 1.99526231e+01  4.03513711e+01 
 2.04173794e+01  4.03493466e+01 
 2.08929613e+01  4.03472277e+01 
 2.13796209e+01  4.03450100e+01 
 2.18776162e+01  4.03426889e+01 
 2.23872114e+01  4.03402598e+01 
 2.29086765e+01  4.03377177e+01 
 2.34422882e+01  4.03350573e+01 
 2.39883292e+01  4.03322733e+01 
 2.45470892e+01  4.03293600e+01 
 2.51188643e+01  4.03263115e+01 
 2.57039578e+01  4.03231215e+01 
 2.63026799e+01  4.03197838e+01 
 2.69153480e+01  4.03162914e+01 
 2.75422870e+01  4.03126375e+01 
 2.81838293e+01  4.03088147e+01 
 2.88403150e+01  4.03048114e+01 
 2.95120923e+01  4.03006274e+01 
 3.01995172e+01  4.02962506e+01 
 3.09029543e+01  4.02916722e+01 
 3.16227766e+01  4.02868832e+01 
 3.23593657e+01  4.02818742e+01 
 3.31131121e+01  4.02766353e+01 
 3.38844156e+01  4.02711486e+01 
 3.46736850e+01  4.02654188e+01 
 3.54813389e+01  4.02594270e+01 
 3.63078055e+01  4.02531617e+01 
 3.71535229e+01  4.02466069e+01 
 3.80189396e+01  4.02397579e+01 
 3.89045145e+01  4.02325977e+01 
 3.98107171e+01  4.02251126e+01 
 4.07380278e+01  4.02172886e+01 
 4.16869383e+01  4.02091110e+01 
 4.26579519e+01  4.02005645e+01 
 4.36515832e+01  4.01916332e+01 
 4.46683592e+01  4.01823007e+01 
 4.57088190e+01  4.01725499e+01 
 4.67735141e+01  4.01623629e+01 
 4.78630092e+01  4.01517215e+01 
 4.89778819e+01  4.01406064e+01 
 5.01187234e+01  4.01289961e+01 
 5.12861384e+01  4.01168739e+01 
 5.24807460e+01  4.01042166e+01 
 5.37031796e+01  4.00910022e+01 
 5.49540874e+01  4.00772081e+01 
 5.62341325e+01  4.00628090e+01 
 5.75439937e+01  4.00477769e+01 
 5.88843655e+01  4.00320998e+01 
 6.02559586e+01  4.00157444e+01 
 6.16595002e+01  3.99986840e+01 
 6.30957344e+01  3.99808913e+01 
 6.45654229e+01  3.99623344e+01 
 6.60693448e+01  3.99429915e+01 
 6.76082975e+01  3.99228291e+01 
 6.91830971e+01  3.99018147e+01 
 7.07945784e+01  3.98799205e+01 
 7.24435960e+01  3.98571124e+01 
 7.41310241e+01  3.98333573e+01 
 7.58577575e+01  3.98086145e+01 
 7.76247117e+01  3.97828599e+01 
 7.94328235e+01  3.97560583e+01 
 8.12830516e+01  3.97281682e+01 
 8.31763771e+01  3.96991567e+01 
 8.51138038e+01  3.96689848e+01 
 8.70963590e+01  3.96375990e+01 
 8.91250938e+01  3.96049818e+01 
 9.12010839e+01  3.95710973e+01 
 9.33254301e+01  3.95358994e+01 
 9.54992586e+01  3.94993449e+01 
 9.77237221e+01  3.94613971e+01 
 1.00000000e+02  3.94220041e+01 
 1.02329299e+02  3.93811450e+01 
 1.04712855e+02  3.93387661e+01 
 1.07151931e+02  3.92948317e+01 
 1.09647820e+02  3.92493008e+01 
 1.12201845e+02  3.92021238e+01 
 1.14815362e+02  3.91532729e+01 
 1.17489755e+02  3.91027066e+01 
 1.20226443e+02  3.90503730e+01 
 1.23026877e+02  3.89962505e+01 
 1.25892541e+02  3.89402929e+01 
 1.28824955e+02  3.88824554e+01 
 1.31825674e+02  3.88227149e+01 
 1.34896288e+02  3.87610314e+01 
 1.38038426e+02  3.86973603e+01 
 1.41253754e+02  3.86316843e+01 
 1.44543977e+02  3.85639657e+01 
