 F		G
 8.70963590e+00 -1.03795431e-01 
 8.91250938e+00 -1.04856178e-01 
 9.12010839e+00 -1.05968839e-01 
 9.33254301e+00 -1.07135766e-01 
 9.54992586e+00 -1.08359490e-01 
 9.77237221e+00 -1.09642440e-01 
 1.00000000e+01 -1.10987568e-01 
 1.02329299e+01 -1.12347706e-01 
 1.04712855e+01 -1.13824943e-01 
 1.07151931e+01 -1.15372975e-01 
 1.09647820e+01 -1.16994887e-01 
 1.12201845e+01 -1.18693969e-01 
 1.14815362e+01 -1.20474097e-01 
 1.17489755e+01 -1.22387759e-01 
 1.20226443e+01 -1.24340191e-01 
 1.23026877e+01 -1.26384710e-01 
 1.25892541e+01 -1.28476356e-01 
 1.28824955e+01 -1.30718114e-01 
 1.31825674e+01 -1.33066728e-01 
 1.34896288e+01 -1.35524080e-01 
 1.38038426e+01 -1.38096380e-01 
 1.41253754e+01 -1.40788961e-01 
 1.44543977e+01 -1.43607321e-01 
 1.47910839e+01 -1.46557115e-01 
 1.51356125e+01 -1.49644424e-01 
 1.54881662e+01 -1.52875231e-01 
 1.58489319e+01 -1.56256092e-01 
 1.62181010e+01 -1.59744774e-01 
 1.65958691e+01 -1.63495206e-01 
 1.69824365e+01 -1.67368171e-01 
 1.73780083e+01 -1.71420325e-01 
 1.77827941e+01 -1.75610123e-01 
 1.81970086e+01 -1.80044124e-01 
 1.86208714e+01 -1.84730885e-01 
 1.90546072e+01 -1.89581795e-01 
 1.94984460e+01 -1.94606811e-01 
 1.99526231e+01 -1.99913025e-01 
 2.04173794e+01 -2.05510160e-01 
 2.08929613e+01 -2.11263837e-01 
 2.13796209e+01 -2.17378652e-01 
 2.18776162e+01 -2.23721136e-01 
 2.23872114e+01 -2.30352242e-01 
 2.29086765e+01 -2.37283806e-01 
 2.34422882e+01 -2.44529244e-01 
 2.39883292e+01 -2.52101869e-01 
 2.45470892e+01 -2.59968377e-01 
 2.51188643e+01 -2.68238675e-01 
 2.57039578e+01 -2.76880907e-01 
